destination_id,destination_name,main_category,sub_category,district_location,estimated_ticket_price,price_level,destination_rating,visit_duration_hours,accessibility_level,suitable_for,activity_tags,public_facilities,destination_description,destination_profile_text,deskripsi_destinasi_model,item_profile_model,jumlah_interaksi_train,jumlah_relevan_train,popularitas_norm
D0001,Kawah Ijen,Alam,gunung,Kalipuro,50000,Sedang,4.1,4.0,Mudah,Teman,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Kawah Ijen adalah destinasi Alam di Kecamatan Kalipuro dengan subkategori gunung. Destinasi ini cocok untuk perjalanan teman, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp50.000, durasi kunjungan sekitar 4 jam, aksesibilitas mudah, dan rating 4.1/5.",Kawah Ijen Alam gunung alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_sedang akses_mudah durasi_4_jam cocok_teman,"Kawah Ijen adalah destinasi Alam di Kecamatan Kalipuro dengan subkategori gunung. Destinasi ini cocok untuk perjalanan teman, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp50.000, durasi kunjungan sekitar 4 jam, aksesibilitas mudah, dan rating 4.1/5.","kawah ijen alam gunung alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung kawah ijen adalah destinasi alam di kecamatan kalipuro dengan subkategori gunung. destinasi ini cocok untuk perjalanan teman, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp50.000, durasi kunjungan sekitar 4 jam, aksesibilitas mudah, dan rating 4.1/5. harga_sedang akses_mudah durasi_4_jam cocok_teman",224,119,0.64254697697521
D0002,Hutan De Djawatan,Alam,hutan,Glenmore,50000,Sedang,4.1,4.0,Sulit,Keluarga,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Hutan De Djawatan adalah destinasi Alam di Kecamatan Glenmore dengan subkategori hutan. Destinasi ini cocok untuk perjalanan keluarga, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp50.000, durasi kunjungan sekitar 4 jam, aksesibilitas sulit, dan rating 4.1/5.",Hutan De Djawatan Alam hutan alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_sedang akses_sulit durasi_4_jam cocok_keluarga,"Hutan De Djawatan adalah destinasi Alam di Kecamatan Glenmore dengan subkategori hutan. Destinasi ini cocok untuk perjalanan keluarga, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp50.000, durasi kunjungan sekitar 4 jam, aksesibilitas sulit, dan rating 4.1/5.","hutan de djawatan alam hutan alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung hutan de djawatan adalah destinasi alam di kecamatan glenmore dengan subkategori hutan. destinasi ini cocok untuk perjalanan keluarga, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp50.000, durasi kunjungan sekitar 4 jam, aksesibilitas sulit, dan rating 4.1/5. harga_sedang akses_sulit durasi_4_jam cocok_keluarga",225,92,0.6463327925996142
D0003,Air Terjun Jagir,Alam,air terjun,Glenmore,25000,Rendah,4.0,1.0,Mudah,Komunitas,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Air Terjun Jagir adalah destinasi Alam di Kecamatan Glenmore dengan subkategori air terjun. Destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp25.000, durasi kunjungan sekitar 1 jam, aksesibilitas mudah, dan rating 4/5.",Air Terjun Jagir Alam air terjun alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_rendah akses_mudah durasi_1_jam cocok_komunitas,"Air Terjun Jagir adalah destinasi Alam di Kecamatan Glenmore dengan subkategori air terjun. Destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp25.000, durasi kunjungan sekitar 1 jam, aksesibilitas mudah, dan rating 4/5.","air terjun jagir alam air terjun alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung air terjun jagir adalah destinasi alam di kecamatan glenmore dengan subkategori air terjun. destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp25.000, durasi kunjungan sekitar 1 jam, aksesibilitas mudah, dan rating 4/5. harga_rendah akses_mudah durasi_1_jam cocok_komunitas",149,97,0.29640140434819223
D0004,Air Terjun Lider,Alam,danau,Muncar,10000,Rendah,4.5,4.0,Sedang,Komunitas,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Air Terjun Lider adalah destinasi Alam di Kecamatan Muncar dengan subkategori danau. Destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp10.000, durasi kunjungan sekitar 4 jam, aksesibilitas sedang, dan rating 4.5/5.",Air Terjun Lider Alam danau alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_rendah akses_sedang durasi_4_jam cocok_komunitas,"Air Terjun Lider adalah destinasi Alam di Kecamatan Muncar dengan subkategori danau. Destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp10.000, durasi kunjungan sekitar 4 jam, aksesibilitas sedang, dan rating 4.5/5.","air terjun lider alam danau alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung air terjun lider adalah destinasi alam di kecamatan muncar dengan subkategori danau. destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp10.000, durasi kunjungan sekitar 4 jam, aksesibilitas sedang, dan rating 4.5/5. harga_rendah akses_sedang durasi_4_jam cocok_komunitas",299,191,0.888141169205394
D0005,Air Terjun Telunjuk Raung,Alam,agrowisata,Kalipuro,15000,Rendah,4.4,2.0,Sedang,Keluarga,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Air Terjun Telunjuk Raung adalah destinasi Alam di Kecamatan Kalipuro dengan subkategori agrowisata. Destinasi ini cocok untuk perjalanan keluarga, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp15.000, durasi kunjungan sekitar 2 jam, aksesibilitas sedang, dan rating 4.4/5.",Air Terjun Telunjuk Raung Alam agrowisata alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_rendah akses_sedang durasi_2_jam cocok_keluarga,"Air Terjun Telunjuk Raung adalah destinasi Alam di Kecamatan Kalipuro dengan subkategori agrowisata. Destinasi ini cocok untuk perjalanan keluarga, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp15.000, durasi kunjungan sekitar 2 jam, aksesibilitas sedang, dan rating 4.4/5.","air terjun telunjuk raung alam agrowisata alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung air terjun telunjuk raung adalah destinasi alam di kecamatan kalipuro dengan subkategori agrowisata. destinasi ini cocok untuk perjalanan keluarga, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp15.000, durasi kunjungan sekitar 2 jam, aksesibilitas sedang, dan rating 4.4/5. harga_rendah akses_sedang durasi_2_jam cocok_keluarga",245,150,0.7187235980031703
D0006,Sendang Seruni,Alam,gunung,Banyuwangi,50000,Sedang,4.4,2.0,Mudah,Pasangan,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Sendang Seruni adalah destinasi Alam di Kecamatan Banyuwangi dengan subkategori gunung. Destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp50.000, durasi kunjungan sekitar 2 jam, aksesibilitas mudah, dan rating 4.4/5.",Sendang Seruni Alam gunung alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_sedang akses_mudah durasi_2_jam cocok_pasangan,"Sendang Seruni adalah destinasi Alam di Kecamatan Banyuwangi dengan subkategori gunung. Destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp50.000, durasi kunjungan sekitar 2 jam, aksesibilitas mudah, dan rating 4.4/5.","sendang seruni alam gunung alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung sendang seruni adalah destinasi alam di kecamatan banyuwangi dengan subkategori gunung. destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp50.000, durasi kunjungan sekitar 2 jam, aksesibilitas mudah, dan rating 4.4/5. harga_sedang akses_mudah durasi_2_jam cocok_pasangan",268,101,0.7950271727118255
D0007,Savana Sadengan,Alam,hutan,Rogojampi,10000,Rendah,4.3,2.0,Sedang,Komunitas,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Savana Sadengan adalah destinasi Alam di Kecamatan Rogojampi dengan subkategori hutan. Destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp10.000, durasi kunjungan sekitar 2 jam, aksesibilitas sedang, dan rating 4.3/5.",Savana Sadengan Alam hutan alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_rendah akses_sedang durasi_2_jam cocok_komunitas,"Savana Sadengan adalah destinasi Alam di Kecamatan Rogojampi dengan subkategori hutan. Destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp10.000, durasi kunjungan sekitar 2 jam, aksesibilitas sedang, dan rating 4.3/5.","savana sadengan alam hutan alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung savana sadengan adalah destinasi alam di kecamatan rogojampi dengan subkategori hutan. destinasi ini cocok untuk perjalanan komunitas, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp10.000, durasi kunjungan sekitar 2 jam, aksesibilitas sedang, dan rating 4.3/5. harga_rendah akses_sedang durasi_2_jam cocok_komunitas",275,154,0.8169582876315977
D0008,Rowo Bayu,Alam,air terjun,Banyuwangi,75000,Sedang,4.0,2.5,Sedang,Solo,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Rowo Bayu adalah destinasi Alam di Kecamatan Banyuwangi dengan subkategori air terjun. Destinasi ini cocok untuk perjalanan solo, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp75.000, durasi kunjungan sekitar 2.5 jam, aksesibilitas sedang, dan rating 4/5.",Rowo Bayu Alam air terjun alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_sedang akses_sedang durasi_2.5_jam cocok_solo,"Rowo Bayu adalah destinasi Alam di Kecamatan Banyuwangi dengan subkategori air terjun. Destinasi ini cocok untuk perjalanan solo, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp75.000, durasi kunjungan sekitar 2.5 jam, aksesibilitas sedang, dan rating 4/5.","rowo bayu alam air terjun alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung rowo bayu adalah destinasi alam di kecamatan banyuwangi dengan subkategori air terjun. destinasi ini cocok untuk perjalanan solo, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp75.000, durasi kunjungan sekitar 2.5 jam, aksesibilitas sedang, dan rating 4/5. harga_sedang akses_sedang durasi_2_jam cocok_solo",164,73,0.37776770715901525
D0009,Perkebunan Kalibendo,Alam,danau,Glenmore,30000,Sedang,4.3,4.0,Sedang,Pasangan,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Perkebunan Kalibendo adalah destinasi Alam di Kecamatan Glenmore dengan subkategori danau. Destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp30.000, durasi kunjungan sekitar 4 jam, aksesibilitas sedang, dan rating 4.3/5.",Perkebunan Kalibendo Alam danau alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_sedang akses_sedang durasi_4_jam cocok_pasangan,"Perkebunan Kalibendo adalah destinasi Alam di Kecamatan Glenmore dengan subkategori danau. Destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp30.000, durasi kunjungan sekitar 4 jam, aksesibilitas sedang, dan rating 4.3/5.","perkebunan kalibendo alam danau alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung perkebunan kalibendo adalah destinasi alam di kecamatan glenmore dengan subkategori danau. destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp30.000, durasi kunjungan sekitar 4 jam, aksesibilitas sedang, dan rating 4.3/5. harga_sedang akses_sedang durasi_4_jam cocok_pasangan",268,140,0.7950271727118255
D0010,Agro Wisata Tamansuruh,Alam,agrowisata,Banyuwangi,15000,Rendah,4.6,1.0,Sedang,Pasangan,"alam, pegunungan, air terjun, hutan, pemandangan","area parkir, toilet, spot foto, jalur trekking, warung","Agro Wisata Tamansuruh adalah destinasi Alam di Kecamatan Banyuwangi dengan subkategori agrowisata. Destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp15.000, durasi kunjungan sekitar 1 jam, aksesibilitas sedang, dan rating 4.6/5.",Agro Wisata Tamansuruh Alam agrowisata alam pegunungan air terjun hutan pemandangan area parkir toilet spot foto jalur trekking warung harga_rendah akses_sedang durasi_1_jam cocok_pasangan,"Agro Wisata Tamansuruh adalah destinasi Alam di Kecamatan Banyuwangi dengan subkategori agrowisata. Destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket Rp15.000, durasi kunjungan sekitar 1 jam, aksesibilitas sedang, dan rating 4.6/5.","agro wisata tamansuruh alam agrowisata alam, pegunungan, air terjun, hutan, pemandangan area parkir, toilet, spot foto, jalur trekking, warung agro wisata tamansuruh adalah destinasi alam di kecamatan banyuwangi dengan subkategori agrowisata. destinasi ini cocok untuk perjalanan pasangan, menawarkan aktivitas alam, pegunungan, air terjun, hutan, estimasi tiket rp15.000, durasi kunjungan sekitar 1 jam, aksesibilitas sedang, dan rating 4.6/5. harga_rendah akses_sedang durasi_1_jam cocok_pasangan",208,138,0.5795728127263629
